BUYER_STATE,BUYER_COUNTY,MONTH,MME
CO,CLEAR CREEK,1,1568.4599999999982
CO,CLEAR CREEK,2,1241.0699999999988
CO,CLEAR CREEK,3,1330.9699999999987
CO,CLEAR CREEK,4,1422.4899999999966
CO,CLEAR CREEK,5,1500.8499999999972
CO,CLEAR CREEK,6,1488.7899999999952
CO,CLEAR CREEK,7,1588.179999999999
CO,CLEAR CREEK,8,1417.5399999999966
CO,CLEAR CREEK,9,1456.2599999999984
CO,CLEAR CREEK,10,1492.789999999998
CO,CLEAR CREEK,11,1453.6699999999967
CO,CLEAR CREEK,12,1378.039999999998
CO,CONEJOS,1,1472.5999999999972
CO,CONEJOS,2,1313.7799999999988
CO,CONEJOS,3,1359.4899999999973
CO,CONEJOS,4,1281.9599999999984
CO,CONEJOS,5,1331.6599999999987
CO,CONEJOS,6,1469.2299999999977
CO,CONEJOS,7,1312.419999999997
CO,CONEJOS,8,1439.2199999999968
CO,CONEJOS,9,1379.3299999999977
CO,CONEJOS,10,1526.8099999999972
CO,CONEJOS,11,1396.5599999999974
CO,CONEJOS,12,1487.7699999999973
CO,CROWLEY,1,822.9199999999998
CO,CROWLEY,2,889.0299999999995
CO,CROWLEY,3,1053.1299999999992
CO,CROWLEY,4,764.2100000000003
CO,CROWLEY,5,935.3599999999994
CO,CROWLEY,6,942.2800000000007
CO,CROWLEY,7,978.5200000000002
CO,CROWLEY,8,878.2300000000012
CO,CROWLEY,9,917.3299999999996
CO,CROWLEY,10,933.1300000000009
CO,CROWLEY,11,878.7300000000005
CO,CROWLEY,12,911.6700000000003
CO,CUSTER,1,1.21
CO,CUSTER,2,0.6
CO,CUSTER,3,1.21
CO,CUSTER,4,0.8999999999999999
CO,CUSTER,5,1.51
CO,CUSTER,6,1.51
CO,CUSTER,7,0.9099999999999999
CO,CUSTER,8,0.8999999999999999
CO,CUSTER,9,1.51
CO,CUSTER,10,0.9099999999999999
CO,CUSTER,11,2.42
CO,CUSTER,12,0.6
CO,DELTA,1,7259.520000000019
CO,DELTA,2,7328.070000000013
CO,DELTA,3,7514.050000000016
CO,DELTA,4,7216.440000000012
CO,DELTA,5,6996.270000000004
CO,DELTA,6,7366.7200000000075
CO,DELTA,7,7209.900000000002
CO,DELTA,8,7373.46999999999
CO,DELTA,9,7546.310000000007
CO,DELTA,10,7931.310000000014
CO,DELTA,11,6992.63000000001
CO,DELTA,12,7687.579999999997
CO,DENVER,1,58300.13999999591
CO,DENVER,2,56443.65999999693
CO,DENVER,3,63632.85999999565
CO,DENVER,4,60180.389999995954
CO,DENVER,5,64148.17999999567
CO,DENVER,6,66901.94999999569
CO,DENVER,7,64560.81999999607
CO,DENVER,8,67823.0099999958
CO,DENVER,9,63974.04999999572
CO,DENVER,10,66358.57999999507
CO,DENVER,11,64546.909999995616
CO,DENVER,12,65426.029999995415
CO,DOUGLAS,1,30933.359999998986
CO,DOUGLAS,2,29809.83999999919
CO,DOUGLAS,3,35276.65999999848
CO,DOUGLAS,4,31944.319999998952
CO,DOUGLAS,5,34447.75999999868
CO,DOUGLAS,6,34381.59999999862
CO,DOUGLAS,7,34096.33999999866
CO,DOUGLAS,8,36117.01999999855
CO,DOUGLAS,9,33959.299999998555
CO,DOUGLAS,10,36396.44999999844
CO,DOUGLAS,11,34410.82999999861
CO,DOUGLAS,12,36432.52999999827
CO,EAGLE,1,6720.320000000012
CO,EAGLE,2,6528.530000000023
CO,EAGLE,3,7805.410000000008
CO,EAGLE,4,6415.1800000000085
CO,EAGLE,5,5696.750000000033
CO,EAGLE,6,6059.090000000026
CO,EAGLE,7,6106.99000000003
CO,EAGLE,8,6332.2300000000305
CO,EAGLE,9,6191.200000000023
CO,EAGLE,10,6216.270000000027
CO,EAGLE,11,6398.730000000002
CO,EAGLE,12,7559.939999999997
CO,EL PASO,1,92680.6699999991
CO,EL PASO,2,91577.42999999918
CO,EL PASO,3,102129.77999999971
CO,EL PASO,4,96086.47999999915
CO,EL PASO,5,101368.3500000009
CO,EL PASO,6,102660.59999999973
CO,EL PASO,7,101774.4399999995
CO,EL PASO,8,105817.36999999941
CO,EL PASO,9,104508.33000000038
CO,EL PASO,10,106918.7899999998
CO,EL PASO,11,104600.58999999934
CO,EL PASO,12,106035.31000000014
CO,ELBERT,1,1549.7099999999994
CO,ELBERT,2,1747.7099999999969
CO,ELBERT,3,1997.6499999999953
CO,ELBERT,4,1541.1199999999985
CO,ELBERT,5,1665.6599999999985
CO,ELBERT,6,1720.889999999997
CO,ELBERT,7,1744.2899999999993
CO,ELBERT,8,1881.929999999999
CO,ELBERT,9,1864.4999999999973
CO,ELBERT,10,1742.809999999999
CO,ELBERT,11,1805.6999999999973
CO,ELBERT,12,1772.369999999996
CO,FREMONT,1,9873.970000000087
CO,FREMONT,2,9652.440000000064
CO,FREMONT,3,10558.770000000111
CO,FREMONT,4,9970.960000000086
CO,FREMONT,5,10368.8000000001
CO,FREMONT,6,10912.760000000113
